"Severity","Code","Page/File","Message"
"warning","short-description","/404.html","Meta description is 47 characters."
"warning","short-description","/accessibility/","Meta description is 19 characters."
"warning","short-description","/tools/calculator/age-calculator/","Meta description is 40 characters."
"warning","short-description","/tools/calculator/average-calculator/","Meta description is 52 characters."
"warning","short-description","/tools/calculator/bmi-calculator/","Meta description is 51 characters."
"warning","short-description","/tools/calculator/compound-interest-calculator/","Meta description is 66 characters."
"warning","short-description","/tools/calculator/date-difference-calculator/","Meta description is 52 characters."
"warning","short-description","/tools/calculator/discount-calculator/","Meta description is 47 characters."
"warning","short-description","/tools/calculator/","Meta description is 49 characters."
"warning","short-description","/tools/calculator/percentage-calculator/","Meta description is 48 characters."
"warning","short-description","/tools/calculator/percentage-change-calculator/","Meta description is 47 characters."
"warning","short-description","/tools/calculator/simple-interest-calculator/","Meta description is 63 characters."
"warning","short-description","/tools/calculator/time-duration-calculator/","Meta description is 46 characters."
"warning","short-description","/tools/calculator/tip-calculator/","Meta description is 62 characters."
"warning","short-description","/tools/converter/","Meta description is 56 characters."
"warning","short-description","/tools/developer/html-decode/","Meta description is 55 characters."
"warning","short-description","/tools/developer/html-encode/","Meta description is 66 characters."
"warning","short-description","/tools/developer/json-escape/","Meta description is 65 characters."
"warning","short-description","/tools/developer/json-to-xml/","Meta description is 57 characters."
"warning","short-description","/tools/developer/json-to-yaml/","Meta description is 56 characters."
"warning","short-description","/tools/developer/json-unescape/","Meta description is 67 characters."
"warning","short-description","/tools/developer/unix-timestamp-converter/","Meta description is 64 characters."
"warning","short-description","/tools/developer/url-decode/","Meta description is 69 characters."
"warning","short-description","/tools/developer/uuid-generator/","Meta description is 66 characters."
"warning","short-description","/tools/developer/xml-validator/","Meta description is 68 characters."
"warning","short-description","/tools/developer/yaml-validator/","Meta description is 69 characters."
"warning","short-description","/tools/","Meta description is 64 characters."
"warning","short-description","/tools/qr/","Meta description is 53 characters."
"warning","short-description","/tools/qr/qr-email-generator/","Meta description is 59 characters."
"warning","short-description","/tools/qr/qr-event-generator/","Meta description is 67 characters."
"warning","short-description","/tools/qr/qr-location-generator/","Meta description is 58 characters."
"warning","short-description","/tools/qr/qr-phone-generator/","Meta description is 62 characters."
"warning","short-description","/tools/qr/qr-sms-generator/","Meta description is 55 characters."
"warning","short-description","/tools/qr/qr-text-generator/","Meta description is 58 characters."
"warning","short-description","/tools/qr/qr-url-generator/","Meta description is 61 characters."
"warning","short-description","/tools/qr/qr-vcard-generator/","Meta description is 57 characters."
"warning","short-description","/tools/qr/qr-whatsapp-generator/","Meta description is 68 characters."
"warning","short-description","/tools/security/","Meta description is 46 characters."
"warning","short-description","/tools/text/","Meta description is 67 characters."
